f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jL0804m jL0804f jL0700m jL0700f jVINm jVINf jV0300m jV0300f 
0.497702 0.5 0 1 0 1 0 1 1.22377e-15 0.5 2.40095e-15 0.895248 -26.4597 0.445568 63.5403 1.32927 3.82833e-14 0.105294 -90 0.895248 -26.4597 1.50369 -175.985 0 0
0.509414 0.5 0 1 0 1 0 1 -3.6185e-16 0.5 9.56651e-15 0.891047 -26.9949 0.453912 63.0051 1.35044 -3.76831e-14 0.109488 -90 0.891047 -26.9949 1.50399 -175.825 0 0
0.521401 0.5 0 1 0 1 0 1 -1.50797e-15 0.5 -2.59041e-15 0.886708 -27.5376 0.462331 62.4624 1.37336 0 0.113967 -90 0.886708 -27.5376 1.50432 -175.655 0 0
0.53367 0.5 0 1 0 1 0 1 -1.10574e-15 0.5 -6.16232e-15 0.882229 -28.0875 0.47082 61.9125 1.39822 0 0.11876 -90 0.882229 -28.0875 1.50469 -175.473 0 0
0.546228 0.5 0 1 0 1 0 1 -2.82958e-15 0.5 -3.07495e-16 0.87761 -28.6446 0.479375 61.3554 1.42524 0 0.123903 -90 0.87761 -28.6446 1.50511 -175.278 0 0
0.559081 0.5 0 1 0 1 0 1 -2.11519e-15 0.5 -3.08737e-15 0.872848 -29.2087 0.487993 60.7913 1.4547 0 0.12944 -90 0.872848 -29.2087 1.50557 -175.068 0 0
0.572237 0.5 0 1 0 1 0 1 2.61837e-15 0.5 1.13991e-15 0.867941 -29.7798 0.496668 60.2202 1.48689 0 0.135418 -90 0.867941 -29.7798 1.5061 -174.841 0 0
0.585702 0.5 0 1 0 1 0 1 -1.2657e-15 0.5 -1.03803e-14 0.862888 -30.3576 0.505396 59.6424 1.52218 3.34316e-14 0.141894 -90 0.862888 -30.3576 1.5067 -174.596 0 0
0.599484 0.5 0 1 0 1 0 1 5.00068e-16 0.5 2.86064e-15 0.857688 -30.942 0.514171 59.058 1.56099 3.26003e-14 0.148936 -90 0.857688 -30.942 1.50738 -174.33 0 0
0.613591 0.5 0 1 0 1 0 1 2.09656e-16 0.5 -3.1526e-15 0.85234 -31.5329 0.522988 58.4671 1.60383 0 0.156624 -90 0.85234 -31.5329 1.50815 -174.039 0 0
0.628029 0.5 0 1 0 1 0 1 -1.74247e-15 0.5 -3.48494e-15 0.846843 -32.13 0.531843 57.87 1.65131 -3.08172e-14 0.165056 -90 0.846843 -32.13 1.50905 -173.721 0 0
0.642807 0.5 0 1 0 1 0 1 1.44585e-15 0.5 1.44647e-14 0.841197 -32.7332 0.540728 57.2668 1.70416 -2.98615e-14 0.174346 -90 0.841197 -32.7332 1.5101 -173.37 0 0
0.657933 0.5 0 1 0 1 0 1 2.63545e-15 0.5 2.23322e-15 0.835402 -33.3423 0.549639 56.6577 1.76329 0 0.18464 -90 0.835402 -33.3423 1.51132 -172.983 0 0
0.673415 0.5 0 1 0 1 0 1 1.23153e-15 0.5 1.7111e-14 0.829458 -33.9569 0.55857 56.0431 1.82979 0 0.196112 -90 0.829458 -33.9569 1.51277 -172.551 0 0
0.689261 0.5 0 1 0 1 0 1 2.0655e-16 0.5 -1.08928e-14 0.823364 -34.577 0.567513 55.423 1.90506 -2.67125e-14 0.208984 -90 0.823364 -34.577 1.51449 -172.068 0 0
0.70548 0.5 0 1 0 1 0 1 3.21006e-15 0.5 1.84062e-14 0.817122 -35.2022 0.576464 54.7978 1.99085 5.11226e-14 0.223535 -90 0.817122 -35.2022 1.51656 -171.524 0 0
0.722081 0.5 0 1 0 1 0 1 -6.83322e-16 0.5 -1.36664e-15 0.810733 -35.8324 0.585416 54.1676 2.08943 -2.43553e-14 0.240124 -90 0.810733 -35.8324 1.5191 -170.905 0 0
0.739072 0.5 0 1 0 1 0 1 -8.69683e-16 0.5 6.48846e-15 0.804198 -36.4671 0.594361 53.5329 2.20375 0 0.259221 -90 0.804198 -36.4671 1.52223 -170.195 0 0
0.756463 0.5 0 1 0 1 0 1 5.46658e-16 0.5 1.09332e-15 0.797519 -37.1062 0.603294 52.8938 2.33775 -2.17683e-14 0.281453 -90 0.797519 -37.1062 1.52618 -169.373 0 0
0.774264 0.5 0 1 0 1 0 1 2.95071e-17 0.5 5.90142e-17 0.790697 -37.7493 0.612208 52.2507 2.49679 0 0.307674 -90 0.790697 -37.7493 1.53123 -168.408 0 0
0.792483 0.5 0 1 0 1 0 1 -1.35733e-15 0.5 -2.71465e-15 0.783734 -38.3962 0.621096 51.6038 2.68839 0 0.339081 -90 0.783734 -38.3962 1.53785 -167.262 0 0
0.811131 0.5 0 1 0 1 0 1 1.73315e-15 0.5 2.0158e-15 0.776634 -39.0466 0.629952 50.9534 2.92342 1.74073e-14 0.3774 -90 0.776634 -39.0466 1.54675 -165.877 0 0
0.830218 0.5 0 1 0 1 0 1 -1.70675e-15 0.5 -1.22253e-14 0.769399 -39.7001 0.638769 50.2999 3.21815 -1.58131e-14 0.425225 -90 0.769399 -39.7001 1.55911 -164.173 0 0
0.849753 0.5 0 1 0 1 0 1 -9.16273e-16 0.5 -2.9445e-15 0.762032 -40.3564 0.64754 49.6436 3.59819 0 0.486628 -90 0.762032 -40.3564 1.57696 -162.026 0 0
0.869749 0.5 0 1 0 1 0 1 2.65564e-16 0.5 5.31128e-16 0.754537 -41.0151 0.656258 48.9849 4.10618 0 0.568398 -90 0.754537 -41.0151 1.60408 -159.247 0 0
0.890215 0.5 0 1 0 1 0 1 1.2393e-15 0.5 9.19379e-16 0.746917 -41.676 0.664917 48.324 4.81891 2.11205e-14 0.682755 -90 0.746917 -41.676 1.64808 -155.526 0 0
0.911163 0.5 0 1 0 1 0 1 -3.56881e-15 0.5 6.14679e-15 0.739177 -42.3386 0.673511 47.6614 5.88994 -3.45599e-14 0.854137 -90 0.739177 -42.3386 1.72614 -150.342 0 0
0.932603 0.5 0 1 0 1 0 1 -3.4632e-15 0.5 -1.41883e-14 0.731321 -43.0027 0.682033 46.9973 7.67757 -1.32565e-14 1.13957 -90 0.731321 -43.0027 1.88378 -142.776 0 0
0.954548 0.5 0 1 0 1 0 1 -3.4896e-15 0.5 -6.97921e-15 0.723354 -43.6679 0.690477 46.3321 11.2567 0 1.71014 -90 0.723354 -43.6679 2.27477 -131.255 0 0
0.97701 0.5 0 1 0 1 0 1 -9.59757e-16 0.5 -8.57569e-15 0.715281 -44.3338 0.698837 45.6662 22.0022 -9.25158e-15 3.42126 -90 0.715281 -44.3338 3.73565 -113.674 0 0
1 0.5 0 1 0 1 -0 1 -8.19987e-16 0.5 -8.00108e-15 0.707106 -45 0.707107 45 591951 180 94212 90 0.707106 -45 94212 90.0009 0 0
1.02353 0.5 0 1 0 1 0 1 6.32073e-16 0.5 -4.805e-15 0.698837 -45.6663 0.715281 44.3337 21.0007 -180 3.42102 90 0.698837 -45.6663 3.73542 113.676 0 0
1.04762 0.5 0 1 0 1 -0 1 -9.42674e-16 0.5 -1.88535e-15 0.690477 -46.3322 0.723355 43.6678 10.2563 180 1.71008 90 0.690477 -46.3322 2.27472 131.256 0 0
1.07227 0.5 0 1 0 1 -0 1 2.19595e-15 0.5 1.07375e-14 0.682033 -46.9973 0.731322 43.0027 6.6774 -180 1.13954 90 0.682033 -46.9973 1.88376 142.776 0 0
1.0975 0.5 0 1 0 1 0 1 4.70561e-16 0.5 1.24862e-14 0.673511 -47.6614 0.739178 42.3386 4.88984 180 0.854122 90 0.673511 -47.6614 1.72613 150.342 0 0
1.12332 0.5 0 1 0 1 -0 1 6.56921e-16 0.5 -3.6185e-15 0.664917 -48.3241 0.746918 41.6759 3.81885 180 0.682745 90 0.664917 -48.3241 1.64807 155.527 0 0
1.14976 0.5 0 1 0 1 0 1 -9.9237e-16 0.5 -1.98474e-15 0.656257 -48.9849 0.754537 41.0151 3.10614 180 0.568391 90 0.656257 -48.9849 1.60408 159.247 0 0
1.17681 0.5 0 1 0 1 0 1 2.3761e-15 0.5 4.7522e-15 0.647539 -49.6437 0.762032 40.3563 2.59815 180 0.486623 90 0.647539 -49.6437 1.57696 162.026 0 0
1.2045 0.5 0 1 0 1 -0 1 -8.10669e-16 0.5 -9.88022e-15 0.638768 -50.3 0.769399 39.7 2.21812 180 0.425221 90 0.638768 -50.3 1.55911 164.173 0 0
1.23285 0.5 0 1 0 1 0 1 -8.43282e-16 0.5 6.64686e-16 0.629952 -50.9534 0.776634 39.0466 1.9234 180 0.377397 90 0.629952 -50.9534 1.54675 165.878 0 0
1.26186 0.5 0 1 0 1 -0 1 1.33093e-15 0.5 2.66185e-15 0.621096 -51.6038 0.783735 38.3962 1.68837 180 0.339078 90 0.621096 -51.6038 1.53785 167.262 0 0
1.29155 0.5 0 1 0 1 -0 1 0 0.5 0 0.612208 -52.2507 0.790697 37.7493 1.49677 180 0.307672 90 0.612208 -52.2507 1.53123 168.409 0 0
1.32194 0.5 0 1 0 1 -0 1 1.59028e-15 0.5 6.36111e-15 0.603294 -52.8939 0.797519 37.1061 1.33774 -180 0.281452 90 0.603294 -52.8939 1.52618 169.373 0 0
1.35305 0.5 0 1 0 1 -0 1 0 0.5 0 0.59436 -53.5329 0.804199 36.4671 1.20374 180 0.25922 90 0.59436 -53.5329 1.52223 170.195 0 0
1.38489 0.5 0 1 0 1 -0 1 -7.95139e-16 0.5 -1.59028e-15 0.585415 -54.1677 0.810734 35.8323 1.08943 180 0.240123 90 0.585415 -54.1677 1.5191 170.905 0 0
1.41747 0.5 0 1 0 1 -0 1 7.95139e-16 0.5 1.59028e-15 0.576464 -54.7978 0.817123 35.2022 0.990848 -180 0.223534 90 0.576464 -54.7978 1.51656 171.524 0 0
1.45083 0.5 0 1 0 1 -0 1 -1.59028e-15 0.5 -9.54166e-15 0.567513 -55.423 0.823365 34.577 0.905053 180 0.208983 90 0.567513 -55.423 1.51449 172.068 0 0
1.48497 0.5 0 1 0 1 -0 1 7.95139e-16 0.5 1.59028e-15 0.558569 -56.0431 0.829458 33.9569 0.829783 -180 0.196111 90 0.558569 -56.0431 1.51277 172.551 0 0
1.51991 0.5 0 1 0 1 -0 1 -7.95139e-16 0.5 -1.59028e-15 0.549639 -56.6578 0.835403 33.3422 0.763281 -180 0.184639 90 0.549639 -56.6578 1.51132 172.983 0 0
1.55568 0.5 0 1 0 1 -0 1 1.59028e-15 0.5 3.18055e-15 0.540728 -57.2668 0.841198 32.7332 0.70416 180 0.174346 90 0.540728 -57.2668 1.5101 173.37 0 0
1.59228 0.5 0 1 0 1 -0 1 0 0.5 -1.59028e-14 0.531842 -57.87 0.846844 32.13 0.651309 180 0.165055 90 0.531842 -57.87 1.50905 173.721 0 0
1.62975 0.5 0 1 0 1 -0 1 -7.95139e-16 0.5 -1.59028e-15 0.522988 -58.4671 0.85234 31.5329 0.603831 -180 0.156624 90 0.522988 -58.4671 1.50815 174.039 0 0
1.6681 0.5 0 1 0 1 -0 1 0 0.5 -3.18055e-15 0.51417 -59.058 0.857688 30.942 0.56099 -180 0.148935 90 0.51417 -59.058 1.50738 174.33 0 0
1.70735 0.5 0 1 0 1 -0 1 -7.95139e-16 0.5 -1.59028e-15 0.505395 -59.6424 0.862888 30.3576 0.522177 180 0.141893 90 0.505395 -59.6424 1.5067 174.596 0 0
1.74753 0.5 0 1 0 1 -0 1 -1.59028e-15 0.5 -3.18055e-15 0.496667 -60.2202 0.867941 29.7798 0.486888 180 0.135417 90 0.496667 -60.2202 1.5061 174.841 0 0
1.78865 0.5 0 1 0 1 -0 1 0 0.5 -9.54166e-15 0.487992 -60.7913 0.872848 29.2087 0.454696 180 0.12944 90 0.487992 -60.7913 1.50557 175.068 0 0
1.83074 0.5 0 1 0 1 -0 1 -7.95139e-16 0.5 -7.15625e-15 0.479375 -61.3554 0.87761 28.6446 0.425241 180 0.123903 90 0.479375 -61.3554 1.50511 175.278 0 0
1.87382 0.5 0 1 0 1 -0 1 3.97569e-16 0.5 2.38542e-15 0.470819 -61.9125 0.88223 28.0875 0.398216 -180 0.118759 90 0.470819 -61.9125 1.50469 175.473 0 0
1.91791 0.5 0 1 0 1 -0 1 1.19271e-15 0.5 2.38542e-15 0.46233 -62.4624 0.886708 27.5376 0.373359 180 0.113966 90 0.46233 -62.4624 1.50432 175.655 0 0
1.96304 0.5 0 1 0 1 -0 1 -3.97569e-16 0.5 -1.59028e-15 0.453911 -63.0051 0.891047 26.9949 0.350443 -180 0.109488 90 0.453911 -63.0051 1.50399 175.825 0 0
