f 1m 1f 2m 2f jL0200m jL0200f jL0100m jL0100f jV0200m jV0200f 
1.46611 0.446477 -60.2586 1 -0 0.499 -66.4542 0.446477 119.741 0.499 113.546 
1.46949 0.445702 -60.3155 1 -0 0.49812 -66.4969 0.445702 119.685 0.49812 113.503 
1.47288 0.444927 -60.3723 1 -0 0.497241 -66.5395 0.444927 119.628 0.497241 113.46 
1.47628 0.444152 -60.429 1 -0 0.496362 -66.5821 0.444152 119.571 0.496362 113.418 
1.47969 0.443378 -60.4856 1 -0 0.495484 -66.6247 0.443378 119.514 0.495484 113.375 
1.4831 0.442604 -60.5422 1 -0 0.494606 -66.6673 0.442604 119.458 0.494606 113.333 
1.48652 0.441831 -60.5987 1 -0 0.493729 -66.7098 0.441831 119.401 0.493729 113.29 
1.48996 0.441058 -60.6552 1 -0 0.492853 -66.7523 0.441058 119.345 0.492853 113.248 
1.49339 0.440286 -60.7115 1 -0 0.491977 -66.7947 0.440286 119.288 0.491977 113.205 
1.49684 0.439514 -60.7679 1 -0 0.491102 -66.8372 0.439514 119.232 0.491102 113.163 
1.50029 0.438743 -60.8241 1 -0 0.490228 -66.8795 0.438743 119.176 0.490228 113.12 
1.50376 0.437973 -60.8803 1 -0 0.489354 -66.9219 0.437973 119.12 0.489354 113.078 
1.50723 0.437202 -60.9364 1 -0 0.488481 -66.9642 0.437202 119.064 0.488481 113.036 
1.5107 0.436433 -60.9924 1 -0 0.487609 -67.0064 0.436433 119.008 0.487609 112.994 
1.51419 0.435664 -61.0484 1 -0 0.486737 -67.0487 0.435664 118.952 0.486737 112.951 
1.51768 0.434895 -61.1043 1 -0 0.485866 -67.0909 0.434895 118.896 0.485866 112.909 
1.52119 0.434127 -61.1601 1 -0 0.484996 -67.133 0.434127 118.84 0.484996 112.867 
1.5247 0.433359 -61.2159 1 -0 0.484127 -67.1751 0.433359 118.784 0.484127 112.825 
1.52821 0.432592 -61.2716 1 -0 0.483258 -67.2172 0.432592 118.728 0.483258 112.783 
1.53174 0.431826 -61.3272 1 -0 0.48239 -67.2592 0.431826 118.673 0.48239 112.741 
1.53528 0.43106 -61.3828 1 -0 0.481522 -67.3012 0.43106 118.617 0.481522 112.699 
1.53882 0.430295 -61.4383 1 -0 0.480656 -67.3432 0.430295 118.562 0.480656 112.657 
1.54237 0.42953 -61.4937 1 -0 0.47979 -67.3851 0.42953 118.506 0.47979 112.615 
1.54593 0.428766 -61.549 1 -0 0.478924 -67.427 0.428766 118.451 0.478924 112.573 
1.5495 0.428002 -61.6043 1 -0 0.47806 -67.4688 0.428002 118.396 0.47806 112.531 
1.55307 0.427239 -61.6595 1 -0 0.477196 -67.5106 0.427239 118.34 0.477196 112.489 
1.55665 0.426476 -61.7147 1 -0 0.476333 -67.5524 0.426476 118.285 0.476333 112.448 
1.56025 0.425714 -61.7698 1 -0 0.475471 -67.5941 0.425714 118.23 0.475471 112.406 
1.56385 0.424953 -61.8248 1 -0 0.474609 -67.6358 0.424953 118.175 0.474609 112.364 
1.56746 0.424192 -61.8797 1 -0 0.473748 -67.6775 0.424192 118.12 0.473748 112.323 
1.57107 0.423432 -61.9345 1 -0 0.472888 -67.7191 0.423432 118.065 0.472888 112.281 
1.5747 0.422672 -61.9893 1 -0 0.472028 -67.7606 0.422672 118.011 0.472028 112.239 
1.57833 0.421913 -62.0441 1 -0 0.47117 -67.8022 0.421913 117.956 0.47117 112.198 
1.58197 0.421155 -62.0987 1 -0 0.470312 -67.8436 0.421155 117.901 0.470312 112.156 
1.58562 0.420397 -62.1533 1 -0 0.469455 -67.8851 0.420397 117.847 0.469455 112.115 
1.58928 0.41964 -62.2078 1 -0 0.468598 -67.9265 0.41964 117.792 0.468598 112.074 
1.59295 0.418883 -62.2622 1 -0 0.467743 -67.9678 0.418883 117.738 0.467743 112.032 
1.59663 0.418127 -62.3166 1 -0 0.466888 -68.0091 0.418127 117.683 0.466888 111.991 
1.60031 0.417372 -62.3709 1 -0 0.466034 -68.0504 0.417372 117.629 0.466034 111.95 
1.604 0.416617 -62.4251 1 -0 0.465181 -68.0917 0.416617 117.575 0.465181 111.908 
1.6077 0.415863 -62.4793 1 -0 0.464328 -68.1328 0.415863 117.521 0.464328 111.867 
1.61141 0.415109 -62.5333 1 -0 0.463477 -68.174 0.415109 117.467 0.463477 111.826 
1.61513 0.414356 -62.5874 1 -0 0.462626 -68.2151 0.414356 117.413 0.462626 111.785 
1.61886 0.413604 -62.6413 1 -0 0.461775 -68.2562 0.413604 117.359 0.461775 111.744 
1.6226 0.412852 -62.6952 1 -0 0.460926 -68.2972 0.412852 117.305 0.460926 111.703 
1.62634 0.412101 -62.749 1 -0 0.460078 -68.3382 0.412101 117.251 0.460078 111.662 
1.63009 0.411351 -62.8027 1 -0 0.45923 -68.3791 0.411351 117.197 0.45923 111.621 
1.63385 0.410601 -62.8563 1 -0 0.458383 -68.42 0.410601 117.144 0.458383 111.58 
1.63762 0.409852 -62.9099 1 -0 0.457537 -68.4608 0.409852 117.09 0.457537 111.539 
1.6414 0.409104 -62.9634 1 -0 0.456691 -68.5016 0.409104 117.037 0.456691 111.498 
1.64519 0.408356 -63.0168 1 -0 0.455847 -68.5424 0.408356 116.983 0.455847 111.458 
1.64899 0.407609 -63.0702 1 -0 0.455003 -68.5831 0.407609 116.93 0.455003 111.417 
1.65279 0.406862 -63.1235 1 -0 0.45416 -68.6238 0.406862 116.877 0.45416 111.376 
1.65661 0.406116 -63.1767 1 -0 0.453318 -68.6644 0.406116 116.823 0.453318 111.336 
1.66043 0.405371 -63.2298 1 -0 0.452477 -68.705 0.405371 116.77 0.452477 111.295 
1.66426 0.404627 -63.2829 1 -0 0.451637 -68.7456 0.404627 116.717 0.451637 111.254 
1.6681 0.403883 -63.3359 1 -0 0.450797 -68.7861 0.403883 116.664 0.450797 111.214 
1.67195 0.40314 -63.3888 1 -0 0.449958 -68.8265 0.40314 116.611 0.449958 111.173 
1.67581 0.402398 -63.4417 1 -0 0.44912 -68.8669 0.402398 116.558 0.44912 111.133 
1.67967 0.401656 -63.4945 1 -0 0.448283 -68.9073 0.401656 116.506 0.448283 111.093 
1.68355 0.400915 -63.5472 1 -0 0.447447 -68.9476 0.400915 116.453 0.447447 111.052 
1.68744 0.400174 -63.5998 1 -0 0.446612 -68.9879 0.400174 116.4 0.446612 111.012 
1.69133 0.399435 -63.6524 1 -0 0.445777 -69.0281 0.399435 116.348 0.445777 110.972 
1.69523 0.398696 -63.7048 1 -0 0.444943 -69.0683 0.398696 116.295 0.444943 110.932 
1.69914 0.397958 -63.7573 1 -0 0.444111 -69.1084 0.397958 116.243 0.444111 110.892 
1.70307 0.39722 -63.8096 1 -0 0.443279 -69.1485 0.39722 116.19 0.443279 110.852 
1.70699 0.396483 -63.8619 1 -0 0.442448 -69.1885 0.396483 116.138 0.442448 110.811 
1.71093 0.395747 -63.9141 1 -0 0.441617 -69.2285 0.395747 116.086 0.441617 110.771 
1.71488 0.395012 -63.9662 1 -0 0.440788 -69.2685 0.395012 116.034 0.440788 110.732 
1.71884 0.394277 -64.0182 1 -0 0.439959 -69.3084 0.394277 115.982 0.439959 110.692 
1.72281 0.393543 -64.0702 1 -0 0.439132 -69.3483 0.393543 115.93 0.439132 110.652 
1.72678 0.39281 -64.1221 1 -0 0.438305 -69.3881 0.39281 115.878 0.438305 110.612 
1.73077 0.392077 -64.1739 1 -0 0.437479 -69.4278 0.392077 115.826 0.437479 110.572 
1.73476 0.391345 -64.2256 1 -0 0.436654 -69.4676 0.391345 115.774 0.436654 110.532 
1.73876 0.390614 -64.2773 1 -0 0.43583 -69.5072 0.390614 115.723 0.43583 110.493 
1.74277 0.389884 -64.3289 1 -0 0.435007 -69.5469 0.389884 115.671 0.435007 110.453 
1.7468 0.389154 -64.3804 1 -0 0.434185 -69.5864 0.389154 115.62 0.434185 110.414 
1.75083 0.388425 -64.4319 1 -0 0.433363 -69.626 0.388425 115.568 0.433363 110.374 
1.75487 0.387697 -64.4833 1 -0 0.432543 -69.6654 0.387697 115.517 0.432543 110.335 
1.75892 0.38697 -64.5346 1 -0 0.431723 -69.7049 0.38697 115.465 0.431723 110.295 
1.76298 0.386243 -64.5858 1 -0 0.430904 -69.7443 0.386243 115.414 0.430904 110.256 
1.76704 0.385517 -64.637 1 -0 0.430086 -69.7836 0.385517 115.363 0.430086 110.216 
1.77112 0.384792 -64.688 1 -0 0.429269 -69.8229 0.384792 115.312 0.429269 110.177 
1.77521 0.384068 -64.739 1 -0 0.428453 -69.8622 0.384068 115.261 0.428453 110.138 
1.7793 0.383344 -64.79 1 -0 0.427638 -69.9014 0.383344 115.21 0.427638 110.099 
1.78341 0.382621 -64.8408 1 -0 0.426824 -69.9405 0.382621 115.159 0.426824 110.06 
1.78753 0.381899 -64.8916 1 -0 0.426011 -69.9796 0.381899 115.108 0.426011 110.02 
1.79165 0.381178 -64.9423 1 -0 0.425198 -70.0187 0.381178 115.058 0.425198 109.981 
1.79578 0.380457 -64.9929 1 -0 0.424387 -70.0577 0.380457 115.007 0.424387 109.942 
1.79993 0.379737 -65.0435 1 -0 0.423576 -70.0966 0.379737 114.957 0.423576 109.903 
1.80408 0.379018 -65.094 1 -0 0.422767 -70.1355 0.379018 114.906 0.422767 109.864 
1.80824 0.3783 -65.1444 1 -0 0.421958 -70.1744 0.3783 114.856 0.421958 109.826 
1.81242 0.377582 -65.1947 1 -0 0.42115 -70.2132 0.377582 114.805 0.42115 109.787 
1.8166 0.376866 -65.245 1 -0 0.420344 -70.2519 0.376866 114.755 0.420344 109.748 
1.82079 0.37615 -65.2951 1 -0 0.419538 -70.2907 0.37615 114.705 0.419538 109.709 
1.82499 0.375435 -65.3452 1 -0 0.418733 -70.3293 0.375435 114.655 0.418733 109.671 
1.8292 0.37472 -65.3953 1 -0 0.417929 -70.3679 0.37472 114.605 0.417929 109.632 
1.83343 0.374007 -65.4452 1 -0 0.417126 -70.4065 0.374007 114.555 0.417126 109.594 
1.83766 0.373294 -65.4951 1 -0 0.416324 -70.445 0.373294 114.505 0.416324 109.555 
1.8419 0.372582 -65.5449 1 -0 0.415522 -70.4835 0.372582 114.455 0.415522 109.517 
1.84615 0.371871 -65.5946 1 -0 0.414722 -70.5219 0.371871 114.405 0.414722 109.478 
1.85041 0.37116 -65.6443 1 -0 0.413923 -70.5602 0.37116 114.356 0.413923 109.44 
1.85468 0.370451 -65.6939 1 -0 0.413125 -70.5986 0.370451 114.306 0.413125 109.401 
1.85896 0.369742 -65.7434 1 -0 0.412327 -70.6368 0.369742 114.257 0.412327 109.363 
1.86325 0.369034 -65.7928 1 -0 0.411531 -70.675 0.369034 114.207 0.411531 109.325 
1.86755 0.368327 -65.8421 1 -0 0.410735 -70.7132 0.368327 114.158 0.410735 109.287 
