f 1m 1f 2m 2f 3m 3f 4m 4f jL0402m jL0402f jL0300m jL0300f jVINm jVINf 
1.07227 0.682033 -46.9973 1 2.19595e-15 0.731322 43.0027 6.6774 -180 1.13954 90 0.682033 -46.9973 1.5161 131.268
1.0975 0.673511 -47.6614 1 -1.51263e-15 0.739178 42.3386 4.88984 -180 0.854122 90 0.673511 -47.6614 1.31511 139.499
1.12332 0.664917 -48.3241 1 6.56921e-16 0.746918 41.6759 3.81885 -180 0.682745 90 0.664917 -48.3241 1.21084 145.677
1.14976 0.656257 -48.9849 1 -9.9237e-16 0.754537 41.0151 3.10614 180 0.568391 90 0.656257 -48.9849 1.15025 150.386
1.17681 0.647539 -49.6437 1 2.3761e-15 0.762032 40.3563 2.59815 180 0.486623 90 0.647539 -49.6437 1.11212 154.051
1.2045 0.638768 -50.3 1 2.4553e-15 0.769399 39.7 2.21812 180 0.425221 90 0.638768 -50.3 1.08665 156.964
1.23285 0.629952 -50.9534 1 1.95057e-15 0.776634 39.0466 1.9234 -180 0.377397 90 0.629952 -50.9534 1.06884 159.324
1.26186 0.621096 -51.6038 1 1.33093e-15 0.783735 38.3962 1.68837 180 0.339078 90 0.621096 -51.6038 1.05592 161.269
1.29155 0.612208 -52.2507 1 -8.09116e-16 0.790697 37.7493 1.49677 -180 0.307672 90 0.612208 -52.2507 1.04626 162.898
1.32194 0.603294 -52.8939 1 -1.72384e-16 0.797519 37.1061 1.33774 -180 0.281452 90 0.603294 -52.8939 1.03885 164.281
1.35305 0.59436 -53.5329 1 1.23852e-15 0.804199 36.4671 1.20374 -180 0.25922 90 0.59436 -53.5329 1.03305 165.468
1.38489 0.585415 -54.1677 1 -1.13369e-16 0.810734 35.8323 1.08943 180 0.240123 90 0.585415 -54.1677 1.02843 166.498
1.41747 0.576464 -54.7978 1 -8.6813e-16 0.817123 35.2022 0.990848 180 0.223534 90 0.576464 -54.7978 1.02468 167.4
1.45083 0.567513 -55.423 1 9.31803e-18 0.823365 34.577 0.905053 -180 0.208983 90 0.567513 -55.423 1.0216 168.196
1.48497 0.558569 -56.0431 1 -7.33018e-16 0.829458 33.9569 0.829783 -180 0.196111 90 0.558569 -56.0431 1.01905 168.904
1.51991 0.549639 -56.6578 1 9.31803e-18 0.835403 33.3422 0.763281 -180 0.184639 90 0.549639 -56.6578 1.0169 169.539
1.55568 0.540728 -57.2668 1 -3.88251e-18 0.841198 32.7332 0.70416 180 0.174346 90 0.540728 -57.2668 1.01508 170.11
1.59228 0.531842 -57.87 1 -1.15777e-15 0.846844 32.13 0.651309 180 0.165055 90 0.531842 -57.87 1.01353 170.628
1.62975 0.522988 -58.4671 1 2.79541e-17 0.85234 31.5329 0.603831 -180 0.156624 90 0.522988 -58.4671 1.01219 171.098
1.6681 0.51417 -59.058 1 -3.13707e-16 0.857688 30.942 0.56099 180 0.148935 90 0.51417 -59.058 1.01103 171.529
1.70735 0.505395 -59.6424 1 -2.74105e-16 0.862888 30.3576 0.522177 180 0.141893 90 0.505395 -59.6424 1.01002 171.924
1.74753 0.496667 -60.2202 1 -3.97569e-16 0.867941 29.7798 0.486888 180 0.135417 90 0.496667 -60.2202 1.00913 172.288
1.78865 0.487992 -60.7913 1 -1.50564e-15 0.872848 29.2087 0.454696 180 0.12944 90 0.487992 -60.7913 1.00834 172.625
1.83074 0.479375 -61.3554 1 -1.03275e-15 0.87761 28.6446 0.425241 -180 0.123903 90 0.479375 -61.3554 1.00765 172.937
1.87382 0.470819 -61.9125 1 -4.21641e-16 0.88223 28.0875 0.398216 180 0.118759 90 0.470819 -61.9125 1.00703 173.227
1.91791 0.46233 -62.4624 1 1.38606e-16 0.886708 27.5376 0.373359 -180 0.113966 90 0.46233 -62.4624 1.00647 173.498
1.96304 0.453911 -63.0051 1 7.18265e-17 0.891047 26.9949 0.350443 -180 0.109488 90 0.453911 -63.0051 1.00598 173.752
2.00923 0.445567 -63.5404 1 -8.46388e-17 0.895249 26.4596 0.32927 180 0.105294 90 0.445567 -63.5404 1.00553 173.989
2.05651 0.437301 -64.0682 1 -3.79322e-16 0.899315 25.9318 0.309669 -180 0.101356 90 0.437301 -64.0682 1.00512 174.212
2.1049 0.429116 -64.5885 1 -4.58913e-16 0.903249 25.4115 0.291492 180 0.0976516 90 0.429116 -64.5885 1.00476 174.423
2.15443 0.421016 -65.1012 1 -3.22249e-17 0.907053 24.8988 0.274605 -180 0.0941591 90 0.421016 -65.1012 1.00442 174.621
2.20513 0.413004 -65.6063 1 -3.42049e-16 0.910729 24.3937 0.258892 180 0.0908603 90 0.413004 -65.6063 1.00412 174.808
2.25702 0.405083 -66.1037 1 2.09656e-17 0.91428 23.8963 0.244251 -180 0.087739 90 0.405083 -66.1037 1.00384 174.986
2.31013 0.397254 -66.5934 1 -5.5287e-16 0.917709 23.4066 0.23059 180 0.0847807 90 0.397254 -66.5934 1.00359 175.154
2.36449 0.38952 -67.0753 1 6.32461e-16 0.921018 22.9247 0.217826 -180 0.0819725 90 0.38952 -67.0753 1.00335 175.314
2.42013 0.381884 -67.5495 1 2.58964e-16 0.92421 22.4505 0.205887 -180 0.0793028 90 0.381884 -67.5495 1.00314 175.466
2.47708 0.374348 -68.016 1 2.91577e-16 0.927288 21.984 0.194707 180 0.0767613 90 0.374348 -68.016 1.00294 175.611
