f 1m 1f 2m 2f 3m 3f 4m 4f jV0300m jV0300f 
2.08602 0 0 0 0 0 0 0 0 0 0
2.09084 0 0 0 0 0 0 0 0 0 0
2.09566 0 0 0 0 0 0 0 0 0 0
2.1005 0 0 0 0 0 0 0 0 0 0
2.10535 0 0 0 0 0 0 0 0 0 0
2.1102 0 0 0 0 0 0 0 0 0 0
2.11507 0 0 0 0 0 0 0 0 0 0
2.11995 0 0 0 0 0 0 0 0 0 0
2.12485 0 0 0 0 0 0 0 0 0 0
2.12975 0 0 0 0 0 0 0 0 0 0
2.13466 0 0 0 0 0 0 0 0 0 0
2.13959 0 0 0 0 0 0 0 0 0 0
2.14453 0 0 0 0 0 0 0 0 0 0
2.14947 0 0 0 0 0 0 0 0 0 0
2.15443 0 0 0 0 0 0 0 0 0 0
2.15941 0 0 0 0 0 0 0 0 0 0
2.16439 0 0 0 0 0 0 0 0 0 0
2.16938 0 0 0 0 0 0 0 0 0 0
2.17439 0 0 0 0 0 0 0 0 0 0
2.17941 0 0 0 0 0 0 0 0 0 0
2.18444 0 0 0 0 0 0 0 0 0 0
2.18948 0 0 0 0 0 0 0 0 0 0
2.19453 0 0 0 0 0 0 0 0 0 0
2.19959 0 0 0 0 0 0 0 0 0 0
2.20467 0 0 0 0 0 0 0 0 0 0
2.20976 0 0 0 0 0 0 0 0 0 0
2.21486 0 0 0 0 0 0 0 0 0 0
2.21997 0 0 0 0 0 0 0 0 0 0
2.22509 0 0 0 0 0 0 0 0 0 0
2.23022 0 0 0 0 0 0 0 0 0 0
2.23537 0 0 0 0 0 0 0 0 0 0
2.24053 0 0 0 0 0 0 0 0 0 0
2.2457 0 0 0 0 0 0 0 0 0 0
2.25088 0 0 0 0 0 0 0 0 0 0
2.25607 0 0 0 0 0 0 0 0 0 0
2.26128 0 0 0 0 0 0 0 0 0 0
2.2665 0 0 0 0 0 0 0 0 0 0
2.27173 0 0 0 0 0 0 0 0 0 0
2.27697 0 0 0 0 0 0 0 0 0 0
2.28222 0 0 0 0 0 0 0 0 0 0
2.28749 0 0 0 0 0 0 0 0 0 0
2.29277 0 0 0 0 0 0 0 0 0 0
2.29806 0 0 0 0 0 0 0 0 0 0
