f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f jL1m jL1f jL2m jL2f jL11m jL11f jL21m jL21f jVINm jVINf jVINm jVINf 
0.0033516 0.0189377 87.5881 0.0208299 177.588 0.021042 87.8173 1 -6.33611e-17 0.0210403 177.612 1 90 0.99942 -1.20553 0.0189377 -92.4119 0.999345 88.7946 0.0208299 -2.41175 0.99942 178.794 0.999345 -91.2054
0.00343047 0.0193826 87.5314 0.0213191 177.532 0.0215364 87.766 1 -1.2757e-17 0.0215345 177.556 1 90 0.999392 -1.23385 0.0193826 -92.4686 0.999313 88.7663 0.0213191 -2.46843 0.999392 178.766 0.999313 -91.2337
0.00351119 0.0198379 87.4733 0.0218198 177.474 0.0220423 87.7135 1 2.07829e-17 0.0220402 177.499 1 90 0.999363 -1.26283 0.0198379 -92.5267 0.999281 88.7374 0.0218198 -2.52644 0.999363 178.737 0.999281 -91.2626
0.00359381 0.0203038 87.414 0.0223323 177.414 0.02256 87.6598 1 -7.141e-17 0.0225578 177.44 1 90 0.999333 -1.29249 0.0203038 -92.586 0.999247 88.7077 0.0223323 -2.58582 0.999333 178.708 0.999247 -91.2923
0.00367838 0.0207807 87.3532 0.0228567 177.353 0.0230899 87.6048 1 6.07263e-17 0.0230875 177.38 1 90 0.999301 -1.32284 0.0207807 -92.6468 0.999211 88.6774 0.0228567 -2.64658 0.999301 178.677 0.999211 -91.3226
0.00376494 0.0212687 87.291 0.0233933 177.291 0.0236321 87.5485 1 -7.9365e-18 0.0236296 177.318 1 90 0.999268 -1.3539 0.0212687 -92.709 0.999173 88.6464 0.0233933 -2.70876 0.999268 178.646 0.999173 -91.3536
0.00385353 0.0217681 87.2273 0.0239425 177.228 0.024187 87.4909 1 -4.93984e-17 0.0241844 177.255 1 90 0.999233 -1.38568 0.0217681 -92.7727 0.999134 88.6146 0.0239425 -2.77241 0.999233 178.614 0.999134 -91.3854
0.00394421 0.0222792 87.1622 0.0245046 177.162 0.0247549 87.4319 1 -3.37726e-17 0.0247521 177.191 1 90 0.999197 -1.41821 0.0222792 -92.8378 0.999093 88.5821 0.0245046 -2.83754 0.999197 178.582 0.999093 -91.4179
0.00403702 0.0228023 87.0955 0.0250797 177.096 0.0253361 87.3716 1 -1.55285e-17 0.0253331 177.125 1 90 0.999159 -1.4515 0.0228023 -92.9045 0.99905 88.5488 0.0250797 -2.9042 0.999159 178.548 0.99905 -91.4512
0.00413201 0.0233375 87.0272 0.0256683 177.028 0.0259309 87.3099 1 1.44234e-17 0.0259276 177.057 1 90 0.999119 -1.48557 0.0233375 -92.9728 0.999005 88.5148 0.0256683 -2.97242 0.999119 178.514 0.999005 -91.4852
0.00422924 0.0238853 86.9574 0.0262707 176.958 0.0265396 87.2467 1 -7.82425e-17 0.026536 176.988 1 90 0.999077 -1.52043 0.0238853 -93.0426 0.998957 88.4799 0.0262707 -3.04224 0.999077 178.48 0.998957 -91.5201
0.00432876 0.0244459 86.8859 0.0268871 176.886 0.0271624 87.182 1 -1.31048e-16 0.0271587 176.917 1 90 0.999033 -1.55611 0.0244459 -93.1141 0.998908 88.4443 0.0268871 -3.11369 0.999033 178.444 0.998908 -91.5557
0.00443062 0.0250195 86.8128 0.0275178 176.813 0.0277998 87.1158 1 -9.34257e-17 0.0277958 176.845 1 90 0.998987 -1.59261 0.0250195 -93.1872 0.998856 88.4078 0.0275178 -3.18681 0.998987 178.407 0.998856 -91.5922
0.00453488 0.0256065 86.7379 0.0281633 176.738 0.0284521 87.0481 1 -5.84808e-17 0.0284478 176.771 1 90 0.998939 -1.62997 0.0256065 -93.2621 0.998801 88.3705 0.0281633 -3.26164 0.998939 178.37 0.998801 -91.6295
0.00464159 0.0262073 86.6613 0.0288238 176.662 0.0291196 86.9788 1 1.24584e-16 0.029115 176.695 1 90 0.998889 -1.6682 0.0262073 -93.3387 0.998745 88.3323 0.0288238 -3.33822 0.998889 178.332 0.998745 -91.6677
0.00475081 0.026822 86.5829 0.0294997 176.583 0.0298027 86.9078 1 1.5474e-16 0.0297977 176.617 1 90 0.998836 -1.70732 0.026822 -93.4171 0.998685 88.2932 0.0294997 -3.41659 0.998836 178.293 0.998685 -91.7068
0.0048626 0.027451 86.5027 0.0301913 176.503 0.0305016 86.8353 1 -1.09803e-16 0.0304963 176.538 1 90 0.998781 -1.74735 0.027451 -93.4973 0.998623 88.2532 0.0301913 -3.49679 0.998781 178.253 0.998623 -91.7468
0.00497702 0.0280947 86.4205 0.0308991 176.421 0.0312169 86.761 1 4.02148e-17 0.0312112 176.457 1 90 0.998723 -1.78831 0.0280947 -93.5795 0.998557 88.2123 0.0308991 -3.57886 0.998723 178.212 0.998557 -91.7877
0.00509414 0.0287534 86.3365 0.0316233 176.337 0.0319488 86.6849 1 -1.72739e-16 0.0319427 176.374 1 90 0.998662 -1.83023 0.0287534 -93.6635 0.998489 88.1704 0.0316233 -3.66286 0.998662 178.17 0.998489 -91.8296
0.00521401 0.0294274 86.2505 0.0323643 176.251 0.0326978 86.6071 1 2.49909e-16 0.0326912 176.289 1 90 0.998598 -1.87312 0.0294274 -93.7495 0.998417 88.1276 0.0323643 -3.74881 0.998598 178.127 0.998417 -91.8724
0.0053367 0.0301171 86.1625 0.0331225 176.163 0.0334641 86.5275 1 8.08437e-18 0.0334571 176.201 1 90 0.998532 -1.917 0.0301171 -93.8375 0.998342 88.0837 0.0331225 -3.83676 0.998532 178.083 0.998342 -91.9163
0.00546228 0.0308228 86.0724 0.0338983 176.073 0.0342483 86.4461 1 -2.35534e-16 0.0342407 176.112 1 90 0.998462 -1.96191 0.0308228 -93.9276 0.998263 88.0389 0.0338983 -3.92677 0.998462 178.038 0.998263 -91.9611
0.00559081 0.0315449 85.9803 0.0346922 175.981 0.0350507 86.3627 1 -2.08934e-16 0.0350426 176.021 1 90 0.998389 -2.00785 0.0315449 -94.0197 0.998181 87.993 0.0346922 -4.01888 0.998389 177.992 0.998181 -92.007
0.00572237 0.0322838 85.886 0.0355044 175.887 0.0358717 86.2774 1 -7.01176e-17 0.035863 175.928 1 90 0.998313 -2.05487 0.0322838 -94.114 0.998095 87.946 0.0355044 -4.11313 0.998313 177.945 0.998095 -92.054
0.00585702 0.0330398 85.7895 0.0363354 175.79 0.0367118 86.1901 1 -1.66467e-16 0.0367025 175.832 1 90 0.998233 -2.10297 0.0330398 -94.2105 0.998004 87.898 0.0363354 -4.20958 0.998233 177.897 0.998004 -92.102
0.00599484 0.0338133 85.6907 0.0371857 175.692 0.0375713 86.1007 1 -2.18583e-16 0.0375613 175.735 1 90 0.998149 -2.15218 0.0338133 -94.3093 0.99791 87.8489 0.0371857 -4.30827 0.998149 177.848 0.99791 -92.1511
0.00613591 0.0346048 85.5896 0.0380557 175.591 0.0384508 86.0093 1 2.3985e-17 0.0384401 175.635 1 90 0.998061 -2.20254 0.0346048 -94.4104 0.997811 87.7986 0.0380557 -4.40926 0.998061 177.797 0.997811 -92.2014
0.00628029 0.0354145 85.4862 0.0389457 175.487 0.0393506 85.9158 1 7.94589e-17 0.0393391 175.532 1 90 0.99797 -2.25405 0.0354145 -94.5138 0.997707 87.7471 0.0389457 -4.5126 0.99797 177.746 0.997707 -92.2529
