f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
1091.98 30.0005 0.00695899 2 90 2 90 0.000825878 61.9333 0.000367596 -97.5877 3.00039 -179.986
1101.99 30.0005 0.00689578 2 90 2 90 0.000818377 61.9333 0.000364258 -97.5877 3.00039 -179.986
1112 30.0005 0.00683371 2 90 2 90 0.000811011 61.9332 0.000360979 -97.5878 3.00038 -179.986
1122.01 30.0005 0.00677275 2 90 2 90 0.000803777 61.9332 0.000357759 -97.5879 3.00038 -179.986
1132.02 30.0005 0.00671287 2 90 2 90 0.00079667 61.9331 0.000354596 -97.5879 3.00037 -179.987
1142.03 30.0005 0.00665404 2 90 2 90 0.000789688 61.9331 0.000351488 -97.588 3.00037 -179.987
1152.04 30.0005 0.00659622 2 90 2 90 0.000782828 61.933 0.000348434 -97.588 3.00037 -179.987
1162.05 30.0005 0.00653941 2 90 2 90 0.000776085 61.933 0.000345433 -97.5881 3.00037 -179.987
1172.05 30.0005 0.00648357 2 90 2 90 0.000769458 61.9329 0.000342483 -97.5882 3.00036 -179.987
1182.06 30.0004 0.00642867 2 90 2 90 0.000762943 61.9329 0.000339583 -97.5882 3.00036 -179.987
1192.07 30.0004 0.00637469 2 90 2 90 0.000756537 61.9328 0.000336732 -97.5883 3.00036 -179.987
1202.08 30.0004 0.00632161 2 90 2 90 0.000750238 61.9328 0.000333928 -97.5883 3.00035 -179.987
1212.09 30.0004 0.00626941 2 90 2 90 0.000744043 61.9327 0.000331171 -97.5884 3.00035 -179.987
1222.1 30.0004 0.00621806 2 90 2 90 0.00073795 61.9327 0.000328458 -97.5884 3.00035 -179.988
1232.11 30.0004 0.00616755 2 90 2 90 0.000731955 61.9327 0.00032579 -97.5885 3.00034 -179.988
1242.12 30.0004 0.00611785 2 90 2 90 0.000726057 61.9326 0.000323165 -97.5885 3.00034 -179.988
1252.13 30.0004 0.00606895 2 90 2 90 0.000720254 61.9326 0.000320582 -97.5886 3.00034 -179.988
1262.14 30.0004 0.00602082 2 90 2 90 0.000714542 61.9325 0.000318039 -97.5886 3.00034 -179.988
1272.14 30.0004 0.00597345 2 90 2 90 0.00070892 61.9325 0.000315537 -97.5887 3.00033 -179.988
1282.15 30.0004 0.00592682 2 90 2 90 0.000703386 61.9325 0.000313074 -97.5887 3.00033 -179.988
1292.16 30.0004 0.00588091 2 90 2 90 0.000697938 61.9324 0.000310649 -97.5888 3.00033 -179.988
1302.17 30.0004 0.00583571 2 90 2 90 0.000692574 61.9324 0.000308261 -97.5888 3.00033 -179.988
1312.18 30.0004 0.00579119 2 90 2 90 0.000687291 61.9323 0.00030591 -97.5889 3.00032 -179.988
1322.19 30.0004 0.00574735 2 90 2 90 0.000682088 61.9323 0.000303594 -97.5889 3.00032 -179.989
1332.2 30.0004 0.00570417 2 90 2 90 0.000676964 61.9323 0.000301313 -97.5889 3.00032 -179.989
1342.21 30.0004 0.00566164 2 90 2 90 0.000671916 61.9322 0.000299066 -97.589 3.00032 -179.989
1352.22 30.0004 0.00561973 2 90 2 90 0.000666943 61.9322 0.000296852 -97.589 3.00031 -179.989
1362.23 30.0004 0.00557844 2 90 2 90 0.000662042 61.9322 0.000294671 -97.5891 3.00031 -179.989
1372.23 30.0004 0.00553775 2 90 2 90 0.000657214 61.9321 0.000292522 -97.5891 3.00031 -179.989
