f 1m 1f 2m 2f 3m 3f jL0301m jL0301f jV0200m jV0200f 
1962.77 1 90.0046 1 90 6.57511e-09 -89.9954 8.10871e-05 -179.995 8.10871e-05 -179.995
1972.77 1 90.0046 1 90 6.50857e-09 -89.9954 8.06757e-05 -179.995 8.06757e-05 -179.995
1982.78 1 90.0046 1 90 6.44302e-09 -89.9954 8.02684e-05 -179.995 8.02684e-05 -179.995
1992.79 1 90.0046 1 90 6.37846e-09 -89.9954 7.98653e-05 -179.995 7.98653e-05 -179.995
2002.8 1 90.0046 1 90 6.31487e-09 -89.9954 7.94661e-05 -179.995 7.94661e-05 -179.995
2012.81 1 90.0045 1 90 6.25222e-09 -89.9955 7.9071e-05 -179.995 7.9071e-05 -179.995
2022.82 1 90.0045 1 90 6.1905e-09 -89.9955 7.86797e-05 -179.995 7.86797e-05 -179.995
2032.83 1 90.0045 1 90 6.12969e-09 -89.9955 7.82923e-05 -179.996 7.82923e-05 -179.996
2042.84 1 90.0045 1 90 6.06977e-09 -89.9955 7.79088e-05 -179.996 7.79088e-05 -179.996
2052.85 1 90.0044 1 90 6.01073e-09 -89.9956 7.75289e-05 -179.996 7.75289e-05 -179.996
2062.86 1 90.0044 1 90 5.95254e-09 -89.9956 7.71527e-05 -179.996 7.71527e-05 -179.996
2072.86 1 90.0044 1 90 5.8952e-09 -89.9956 7.67802e-05 -179.996 7.67802e-05 -179.996
2082.87 1 90.0044 1 90 5.83868e-09 -89.9956 7.64112e-05 -179.996 7.64112e-05 -179.996
2092.88 1 90.0044 1 90 5.78296e-09 -89.9956 7.60458e-05 -179.996 7.60458e-05 -179.996
2102.89 1 90.0043 1 90 5.72804e-09 -89.9957 7.56838e-05 -179.996 7.56838e-05 -179.996
2112.9 1 90.0043 1 90 5.6739e-09 -89.9957 7.53253e-05 -179.996 7.53253e-05 -179.996
2122.91 1 90.0043 1 90 5.62053e-09 -89.9957 7.49702e-05 -179.996 7.49702e-05 -179.996
2132.92 1 90.0043 1 90 5.5679e-09 -89.9957 7.46184e-05 -179.996 7.46184e-05 -179.996
2142.93 1 90.0043 1 90 5.51601e-09 -89.9957 7.42699e-05 -179.996 7.42699e-05 -179.996
2152.94 1 90.0042 1 90 5.46484e-09 -89.9958 7.39246e-05 -179.996 7.39246e-05 -179.996
2162.95 1 90.0042 1 90 5.41438e-09 -89.9958 7.35825e-05 -179.996 7.35825e-05 -179.996
2172.95 1 90.0042 1 90 5.36462e-09 -89.9958 7.32436e-05 -179.996 7.32436e-05 -179.996
2182.96 1 90.0042 1 90 5.31554e-09 -89.9958 7.29077e-05 -179.996 7.29077e-05 -179.996
2192.97 1 90.0042 1 90 5.26713e-09 -89.9958 7.2575e-05 -179.996 7.2575e-05 -179.996
2202.98 1 90.0041 1 90 5.21937e-09 -89.9959 7.22452e-05 -179.996 7.22452e-05 -179.996
2212.99 1 90.0041 1 90 5.17227e-09 -89.9959 7.19185e-05 -179.996 7.19185e-05 -179.996
2223 1 90.0041 1 90 5.1258e-09 -89.9959 7.15947e-05 -179.996 7.15947e-05 -179.996
2233.01 1 90.0041 1 90 5.07995e-09 -89.9959 7.12738e-05 -179.996 7.12738e-05 -179.996
2243.02 1 90.0041 1 90 5.03471e-09 -89.9959 7.09557e-05 -179.996 7.09557e-05 -179.996
2253.03 1 90.004 1 90 4.99008e-09 -89.996 7.06405e-05 -179.996 7.06405e-05 -179.996
2263.04 1 90.004 1 90 4.94604e-09 -89.996 7.03281e-05 -179.996 7.03281e-05 -179.996
2273.05 1 90.004 1 90 4.90257e-09 -89.996 7.00184e-05 -179.996 7.00184e-05 -179.996
2283.05 1 90.004 1 90 4.85968e-09 -89.996 6.97114e-05 -179.996 6.97114e-05 -179.996
2293.06 1 90.004 1 90 4.81735e-09 -89.996 6.94071e-05 -179.996 6.94071e-05 -179.996
2303.07 1 90.004 1 90 4.77557e-09 -89.996 6.91055e-05 -179.996 6.91055e-05 -179.996
2313.08 1 90.0039 1 90 4.73433e-09 -89.9961 6.88065e-05 -179.996 6.88065e-05 -179.996
2323.09 1 90.0039 1 90 4.69362e-09 -89.9961 6.851e-05 -179.996 6.851e-05 -179.996
2333.1 1 90.0039 1 90 4.65344e-09 -89.9961 6.82161e-05 -179.996 6.82161e-05 -179.996
2343.11 1 90.0039 1 90 4.61377e-09 -89.9961 6.79247e-05 -179.996 6.79247e-05 -179.996
2353.12 1 90.0039 1 90 4.5746e-09 -89.9961 6.76358e-05 -179.996 6.76358e-05 -179.996
2363.13 1 90.0039 1 90 4.53593e-09 -89.9961 6.73493e-05 -179.996 6.73493e-05 -179.996
2373.14 1 90.0038 1 90 4.49775e-09 -89.9962 6.70653e-05 -179.996 6.70653e-05 -179.996
