f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
2.15443 1.8801e-07 90 1 0 0.0034379 -179.997 1.00002 -7.34371e-08 1 0 0.00156699 1.96408e-05 0.891346 -3.52492e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00309942 0.00171163 -179.997 0 0 0 0 0 0 4.82636e-15 90 8.24818e-18 -89.9969 4.69357e-14 -90 9.26791e-18 -89.9969 3.21403e-07 180 
2.20513 1.92434e-07 90 1 0 0.0034379 -179.997 1.00002 -7.51652e-08 1 0 0.00156699 2.01029e-05 0.891346 -3.60786e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00317236 0.00171163 -179.997 0 0 0 0 0 0 4.93993e-15 90 8.44227e-18 -89.9968 4.80401e-14 -90 9.486e-18 -89.9968 3.21403e-07 180 
2.25702 1.96962e-07 90 1 0 0.0034379 -179.997 1.00002 -7.69339e-08 1 0 0.00156699 2.0576e-05 0.891346 -3.69276e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.003247 0.00171163 -179.997 0 0 0 0 0 0 5.05617e-15 90 8.64092e-18 -89.9968 4.91706e-14 -90 9.70921e-18 -89.9968 3.21403e-07 180 
2.31013 2.01597e-07 90 1 0 0.0034379 -179.997 1.00002 -7.87442e-08 1 0 0.00156699 2.10601e-05 0.891346 -3.77966e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00332341 0.00171163 -179.997 0 0 0 0 0 0 5.17515e-15 90 8.84425e-18 -89.9967 5.03276e-14 -90 9.93768e-18 -89.9967 3.21403e-07 180 
2.36449 2.06341e-07 90 1 0 0.0034379 -179.997 1.00002 -8.05972e-08 1 0 0.00156699 2.15557e-05 0.891346 -3.8686e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00340161 0.00171163 -179.997 0 0 0 0 0 0 5.29692e-15 90 9.05237e-18 -89.9966 5.15119e-14 -90 1.01715e-17 -89.9966 3.21403e-07 180 
2.42013 2.11196e-07 90 1 0 0.0034379 -179.997 1.00002 -8.24937e-08 1 0 0.00156699 2.20629e-05 0.891346 -3.95963e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00348166 0.00171163 -179.997 0 0 0 0 0 0 5.42156e-15 90 9.26538e-18 -89.9965 5.2724e-14 -90 1.04109e-17 -89.9965 3.21403e-07 180 
2.47708 2.16166e-07 90 1 0 0.0034379 -179.996 1.00002 -8.44348e-08 1 0 0.00156699 2.25821e-05 0.891346 -4.0528e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00356358 0.00171163 -179.996 0 0 0 0 0 0 5.54914e-15 90 9.4834e-18 -89.9964 5.39646e-14 -90 1.06558e-17 -89.9964 3.21403e-07 180 
2.53536 2.21252e-07 90 1 0 0.0034379 -179.996 1.00002 -8.64217e-08 1 0 0.00156699 2.31135e-05 0.891346 -4.14817e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00364744 0.00171163 -179.996 0 0 0 0 0 0 5.67972e-15 90 9.70656e-18 -89.9964 5.52345e-14 -90 1.09066e-17 -89.9964 3.21403e-07 180 
2.59502 2.26459e-07 90 1 0 0.0034379 -179.996 1.00002 -8.84553e-08 1 0 0.00156699 2.36574e-05 0.891346 -4.24578e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00373327 0.00171163 -179.996 0 0 0 0 0 0 5.81337e-15 90 9.93496e-18 -89.9963 5.65342e-14 -90 1.11632e-17 -89.9963 3.21403e-07 180 
2.65609 2.31787e-07 90 1 0 0.0034379 -179.996 1.00002 -9.05367e-08 1 0 0.00156699 2.4214e-05 0.891346 -4.34569e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00382111 0.00171163 -179.996 0 0 0 0 0 0 5.95016e-15 90 1.01687e-17 -89.9962 5.78645e-14 -90 1.14259e-17 -89.9962 3.21403e-07 180 
