f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
2.53536 2.21252e-07 90 1 0 0.00343422 -179.996 1.00002 -8.62473e-08 1 0 0.00156717 2.30206e-05 0.891358 -4.13906e-08 0 0 0.0017504 -179.996 0.00152125 -179.996 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00363663 0.00171184 -179.996 0 0 0 0 0 0 5.67979e-15 90 9.69349e-18 -89.9964 1.16894e-14 -90 8.52247e-17 -89.9964 3.21378e-07 180 
2.59502 2.26459e-07 90 1 0 0.00343422 -179.996 1.00002 -8.82768e-08 1 0 0.00156717 2.35623e-05 0.891358 -4.23645e-08 0 0 0.0017504 -179.996 0.00152125 -179.996 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.0037222 0.00171184 -179.996 0 0 0 0 0 0 5.81344e-15 90 9.92158e-18 -89.9963 1.19645e-14 -90 8.72301e-17 -89.9963 3.21378e-07 180 
2.65609 2.31787e-07 90 1 0 0.00343422 -179.996 1.00002 -9.0354e-08 1 0 0.00156717 2.41167e-05 0.891358 -4.33614e-08 0 0 0.0017504 -179.996 0.00152125 -179.996 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00380979 0.00171184 -179.996 0 0 0 0 0 0 5.95024e-15 90 1.0155e-17 -89.9962 1.2246e-14 -90 8.92827e-17 -89.9962 3.21378e-07 180 
2.71859 2.37242e-07 90 1 0 0.00343422 -179.996 1.00002 -9.24801e-08 1 0 0.00156717 2.46842e-05 0.891358 -4.43817e-08 0 0 0.0017504 -179.996 0.00152125 -179.996 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00389943 0.00171184 -179.996 0 0 0 0 0 0 6.09025e-15 90 1.0394e-17 -89.9961 1.25342e-14 -90 9.13837e-17 -89.9961 3.21378e-07 180 
2.78256 2.42824e-07 90 1 0 0.00343422 -179.996 1.00002 -9.46563e-08 1 0 0.00156717 2.52651e-05 0.891358 -4.54261e-08 0 0 0.0017504 -179.996 0.00152125 -179.996 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00399119 0.00171184 -179.996 0 0 0 0 0 0 6.23356e-15 90 1.06386e-17 -89.996 1.28291e-14 -90 9.3534e-17 -89.996 3.21378e-07 180 
2.84804 2.48538e-07 90 1 0 0.00343422 -179.996 1.00002 -9.68837e-08 1 0 0.00156717 2.58596e-05 0.891358 -4.6495e-08 0 0 0.0017504 -179.996 0.00152125 -179.996 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00408511 0.00171184 -179.996 0 0 0 0 0 0 6.38024e-15 90 1.08889e-17 -89.9959 1.3131e-14 -90 9.5735e-17 -89.9959 3.21378e-07 180 
2.91505 2.54386e-07 90 1 0 0.00343422 -179.996 1.00002 -9.91634e-08 1 0 0.00156717 2.64681e-05 0.891358 -4.75891e-08 0 0 0.0017504 -179.996 0.00152125 -179.996 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00418124 0.00171184 -179.996 0 0 0 0 0 0 6.53038e-15 90 1.11452e-17 -89.9958 1.344e-14 -90 9.79877e-17 -89.9958 3.21378e-07 180 
2.98365 2.60372e-07 90 1 0 0.00343422 -179.996 1.00002 -1.01497e-07 1 0 0.00156717 2.70909e-05 0.891358 -4.87089e-08 0 0 0.0017504 -179.996 0.00152125 -179.996 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00427962 0.00171184 -179.996 0 0 0 0 0 0 6.68404e-15 90 1.14074e-17 -89.9957 1.37563e-14 -90 1.00293e-16 -89.9957 3.21378e-07 180 
3.05386 2.66499e-07 90 1 0 0.00343422 -179.996 1.00002 -1.03885e-07 1 0 0.00156717 2.77284e-05 0.891358 -4.98551e-08 0 0 0.0017504 -179.996 0.00152125 -179.996 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00438033 0.00171184 -179.996 0 0 0 0 0 0 6.84133e-15 90 1.16758e-17 -89.9956 1.408e-14 -90 1.02653e-16 -89.9956 3.21378e-07 180 
3.12572 2.7277e-07 90 1 0 0.00343422 -179.996 1.00002 -1.0633e-07 1 0 0.00156717 2.83808e-05 0.891358 -5.10282e-08 0 0 0.0017504 -179.996 0.00152125 -179.996 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.0044834 0.00171184 -179.996 0 0 0 0 0 0 7.00231e-15 90 1.19506e-17 -89.9955 1.44113e-14 -90 1.05069e-16 -89.9955 3.21378e-07 180 
