f 1m 1f 2m 2f jV0200m jV0200f 
18.7382 1.84171 79.3872 10 -0 1.84171 -100.613
19.1791 1.88352 79.1434 10 -0 1.88352 -100.857
19.6304 1.92622 78.8942 10 -0 1.92622 -101.106
20.0923 1.96981 78.6396 10 -0 1.96981 -101.36
20.5651 2.0143 78.3794 10 -0 2.0143 -101.621
21.049 2.05971 78.1137 10 -0 2.05971 -101.886
21.5443 2.10605 77.8422 10 -0 2.10605 -102.158
22.0513 2.15333 77.5649 10 -0 2.15333 -102.435
22.5702 2.20157 77.2817 10 -0 2.20157 -102.718
23.1013 2.25078 76.9925 10 -0 2.25078 -103.007
23.6449 2.30097 76.6972 10 -0 2.30097 -103.303
24.2013 2.35215 76.3957 10 -0 2.35215 -103.604
24.7708 2.40434 76.0879 10 -0 2.40434 -103.912
25.3536 2.45753 75.7736 10 -0 2.45753 -104.226
25.9502 2.51175 75.4529 10 -0 2.51175 -104.547
26.5609 2.56701 75.1256 10 -0 2.56701 -104.874
27.1859 2.6233 74.7917 10 -0 2.6233 -105.208
27.8256 2.68064 74.4509 10 -0 2.68064 -105.549
28.4804 2.73903 74.1033 10 -0 2.73903 -105.897
29.1505 2.79849 73.7488 10 -0 2.79849 -106.251
29.8365 2.85902 73.3872 10 -0 2.85902 -106.613
30.5386 2.92062 73.0186 10 -0 2.92062 -106.981
31.2572 2.98329 72.6427 10 -0 2.98329 -107.357
31.9927 3.04704 72.2597 10 -0 3.04704 -107.74
32.7455 3.11187 71.8692 10 -0 3.11187 -108.131
33.516 3.17777 71.4714 10 -0 3.17777 -108.529
34.3047 3.24476 71.0662 10 -0 3.24476 -108.934
35.1119 3.31282 70.6534 10 -0 3.31282 -109.347
35.9381 3.38195 70.2331 10 -0 3.38195 -109.767
36.7838 3.45214 69.8051 10 -0 3.45214 -110.195
37.6494 3.52339 69.3696 10 -0 3.52339 -110.63
38.5353 3.59569 68.9263 10 -0 3.59569 -111.074
39.4421 3.66902 68.4753 10 -0 3.66902 -111.525
40.3702 3.74338 68.0166 10 -0 3.74338 -111.983
41.3201 3.81875 67.5502 10 -0 3.81875 -112.45
42.2924 3.8951 67.076 10 -0 3.8951 -112.924
43.2876 3.97244 66.594 10 -0 3.97244 -113.406
44.3062 4.05072 66.1043 10 -0 4.05072 -113.896
45.3488 4.12994 65.607 10 -0 4.12994 -114.393
46.4159 4.21006 65.1019 10 -0 4.21006 -114.898
47.5081 4.29106 64.5892 10 -0 4.29106 -115.411
48.626 4.3729 64.0689 10 -0 4.3729 -115.931
49.7702 4.45556 63.5411 10 -0 4.45556 -116.459
