f 1m 1f 2m 2f jV0200m jV0200f 
4404.96 0 0 0 0 0 0
4414.97 0 0 0 0 0 0
4424.98 0 0 0 0 0 0
4434.99 0 0 0 0 0 0
4445 0 0 0 0 0 0
4455.01 0 0 0 0 0 0
4465.02 0 0 0 0 0 0
4475.03 0 0 0 0 0 0
4485.04 0 0 0 0 0 0
4495.05 0 0 0 0 0 0
4505.05 0 0 0 0 0 0
4515.06 0 0 0 0 0 0
4525.07 0 0 0 0 0 0
4535.08 0 0 0 0 0 0
4545.09 0 0 0 0 0 0
4555.1 0 0 0 0 0 0
4565.11 0 0 0 0 0 0
4575.12 0 0 0 0 0 0
4585.13 0 0 0 0 0 0
4595.14 0 0 0 0 0 0
4605.14 0 0 0 0 0 0
4615.15 0 0 0 0 0 0
4625.16 0 0 0 0 0 0
4635.17 0 0 0 0 0 0
4645.18 0 0 0 0 0 0
4655.19 0 0 0 0 0 0
4665.2 0 0 0 0 0 0
4675.21 0 0 0 0 0 0
4685.22 0 0 0 0 0 0
4695.23 0 0 0 0 0 0
4705.23 0 0 0 0 0 0
4715.24 0 0 0 0 0 0
4725.25 0 0 0 0 0 0
4735.26 0 0 0 0 0 0
4745.27 0 0 0 0 0 0
4755.28 0 0 0 0 0 0
4765.29 0 0 0 0 0 0
4775.3 0 0 0 0 0 0
4785.31 0 0 0 0 0 0
4795.32 0 0 0 0 0 0
4805.32 0 0 0 0 0 0
4815.33 0 0 0 0 0 0
4825.34 0 0 0 0 0 0
4835.35 0 0 0 0 0 0
4845.36 0 0 0 0 0 0
4855.37 0 0 0 0 0 0
4865.38 0 0 0 0 0 0
4875.39 0 0 0 0 0 0
4885.4 0 0 0 0 0 0
4895.41 0 0 0 0 0 0
4905.41 0 0 0 0 0 0
4915.42 0 0 0 0 0 0
4925.43 0 0 0 0 0 0
4935.44 0 0 0 0 0 0
4945.45 0 0 0 0 0 0
4955.46 0 0 0 0 0 0
4965.47 0 0 0 0 0 0
4975.48 0 0 0 0 0 0
4985.49 0 0 0 0 0 0
4995.5 0 0 0 0 0 0
5005.5 0 0 0 0 0 0
5015.51 0 0 0 0 0 0
5025.52 0 0 0 0 0 0
5035.53 0 0 0 0 0 0
5045.54 0 0 0 0 0 0
5055.55 0 0 0 0 0 0
5065.56 0 0 0 0 0 0
5075.57 0 0 0 0 0 0
5085.58 0 0 0 0 0 0
5095.59 0 0 0 0 0 0
5105.59 0 0 0 0 0 0
5115.6 0 0 0 0 0 0
5125.61 0 0 0 0 0 0
5135.62 0 0 0 0 0 0
5145.63 0 0 0 0 0 0
5155.64 0 0 0 0 0 0
5165.65 0 0 0 0 0 0
5175.66 0 0 0 0 0 0
5185.67 0 0 0 0 0 0
5195.68 0 0 0 0 0 0
5205.68 0 0 0 0 0 0
5215.69 0 0 0 0 0 0
5225.7 0 0 0 0 0 0
5235.71 0 0 0 0 0 0
5245.72 0 0 0 0 0 0
5255.73 0 0 0 0 0 0
5265.74 0 0 0 0 0 0
5275.75 0 0 0 0 0 0
5285.76 0 0 0 0 0 0
5295.77 0 0 0 0 0 0
5305.77 0 0 0 0 0 0
5315.78 0 0 0 0 0 0
5325.79 0 0 0 0 0 0
5335.8 0 0 0 0 0 0
5345.81 0 0 0 0 0 0
5355.82 0 0 0 0 0 0
5365.83 0 0 0 0 0 0
5375.84 0 0 0 0 0 0
5385.85 0 0 0 0 0 0
5395.86 0 0 0 0 0 0
5405.86 0 0 0 0 0 0
5415.87 0 0 0 0 0 0
5425.88 0 0 0 0 0 0
5435.89 0 0 0 0 0 0
5445.9 0 0 0 0 0 0
5455.91 0 0 0 0 0 0
5465.92 0 0 0 0 0 0
5475.93 0 0 0 0 0 0
5485.94 0 0 0 0 0 0
5495.95 0 0 0 0 0 0
5505.95 0 0 0 0 0 0
5515.96 0 0 0 0 0 0
5525.97 0 0 0 0 0 0
5535.98 0 0 0 0 0 0
5545.99 0 0 0 0 0 0
5556 0 0 0 0 0 0
5566.01 0 0 0 0 0 0
5576.02 0 0 0 0 0 0
5586.03 0 0 0 0 0 0
